"","storm_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","intensity_m3_hr"
"100","storm_103","2015-11-19 22:00:00","2015-11-20 14:30:00",102369.6,303463412.1,16.75,6111.61791044776
"101","storm_106","2016-04-07 09:00:00","2016-04-10 11:00:00",599472,1529923888.8,74.25,8073.69696969697
"102","storm_107","2016-04-11 14:00:00","2016-04-14 09:45:00",511667.1,1362650025.6,68,7524.51617647059
"103","storm_108","2016-04-18 23:30:00","2016-04-20 13:00:00",106073.1,227506413.6,37.75,2809.88344370861
"104","storm_109","2016-04-22 03:30:00","2016-04-25 00:45:00",199997.1,347040391.5,69.5,2877.65611510791
"105","storm_110","2014-07-28 02:00:00","2014-07-31 07:00:00",244341.9,692125783.2,77.25,3163.00194174757
"106","storm_111","2016-04-26 15:45:00","2016-04-27 17:15:00",45893.7,101312137.8,25.75,1782.27961165049
"107","storm_112","2016-05-01 18:45:00","2016-05-05 10:15:00",188964,287483749.2,87.75,2153.4358974359
"108","storm_113","2016-05-08 08:45:00","2016-05-10 11:00:00",96381.9,140028609.6,50.5,1908.55247524752
"109","storm_114","2016-05-14 19:00:00","2016-05-17 03:15:00",74167.2,99735032.7,56.5,1312.69380530973
"110","storm_115","2016-05-29 15:00:00","2016-05-31 12:30:00",142452,571006800.9,45.75,3113.70491803279
"111","storm_116","2016-06-05 10:30:00","2016-06-07 11:45:00",135405,668455100.1,49.5,2735.45454545455
"112","storm_117","2016-06-28 14:30:00","2016-06-30 08:45:00",15317.1,10218774.6,42.5,360.402352941177
"113","storm_118","2016-07-14 14:15:00","2016-07-16 02:00:00",19745.1,13057953.3,36,548.475
"114","storm_119","2016-07-18 10:00:00","2016-07-19 18:30:00",15762.6,13570586.1,32.75,481.300763358779
"115","storm_120","2016-07-22 23:00:00","2016-07-25 02:00:00",30603.6,27393031.8,51.25,597.143414634146
"116","storm_121","2014-08-06 21:45:00","2014-08-10 07:15:00",50026.5,39435151.5,81.75,611.94495412844
"117","storm_122","2016-08-12 14:00:00","2016-08-15 17:15:00",43403.4,25456074.3,75.5,574.879470198676
"118","storm_123","2016-08-16 18:45:00","2016-08-19 01:00:00",38394.9,30860903.7,54.5,704.493577981651
"119","storm_124","2016-08-21 16:15:00","2016-08-23 17:00:00",64004.4,84598985.7,49,1306.21224489796
"120","storm_125","2016-08-28 15:00:00","2016-08-30 19:15:00",171376.2,474007575.6,52.5,3264.30857142857
"121","storm_126","2016-08-31 10:45:00","2016-09-02 12:15:00",277680.6,950597099.1,49.75,5581.51959798995
"122","storm_127","2016-09-09 03:45:00","2016-09-10 05:00:00",15375.6,32037096.6,25.5,602.964705882353
"123","storm_128","2016-09-11 02:45:00","2016-09-12 12:15:00",77222.7,155039688.9,33.75,2288.08
"124","storm_129","2016-09-19 04:45:00","2016-09-20 18:45:00",126198,311657342.4,38.25,3299.29411764706
"125","storm_130","2016-09-23 07:30:00","2016-09-25 10:30:00",103924.8,350078286.6,51.25,2027.80097560976
"126","storm_131","2016-10-20 18:45:00","2016-10-25 17:30:00",984297.6,3917890311.3,119,8271.40840336134
"127","storm_132","2014-08-13 10:30:00","2014-08-16 20:00:00",164520,183235398.3,81.75,2012.47706422018
"128","storm_133","2016-10-31 06:00:00","2016-11-01 01:30:00",47259,225338309.1,19.75,2392.86075949367
"129","storm_134","2016-11-03 08:15:00","2016-11-06",268462.8,960841150.2,59.25,4531.01772151899
"130","storm_135","2016-11-16 07:00:00","2016-11-18 11:15:00",84123,275742215.1,52.5,1602.34285714286
"131","storm_136","2016-11-20 09:30:00","2016-11-22 22:15:00",184317.3,529332135.3,61,3021.59508196721
"132","storm_137","2016-11-28 14:45:00","2016-11-28 22:15:00",26529.3,109369605.6,7.75,3423.13548387097
"133","storm_138","2017-04-15 19:30:00","2017-04-18 20:00:00",916779.6,1441066097.7,72.75,12601.781443299
"134","storm_139","2017-04-19 15:15:00","2017-04-24 10:30:00",1379051.1,2702757594.6,115.5,11939.8363636364
"135","storm_140","2017-04-25 17:45:00","2017-04-28 16:30:00",579870.9,1077609149.1,71,8167.19577464789
"136","storm_143","2014-08-16 20:15:00","2014-08-19 17:30:00",64563.3,92962990.8,69.5,928.968345323741
"137","storm_146","2017-05-22 00:45:00","2017-05-24 18:00:00",516534.3,1119939747.3,65.5,7886.01984732824
"138","storm_147","2017-05-26 04:00:00","2017-05-28 04:30:00",273272.4,597755579.4,48.75,5605.58769230769
"139","storm_148","2017-05-29 11:15:00","2017-06-01 17:00:00",379352.7,691779535.2,78,4863.49615384615
"140","storm_149","2017-06-03 11:30:00","2017-06-05 00:15:00",168984,305399749.5,37,4567.13513513513
"141","storm_150","2017-06-05 16:00:00","2017-06-09 20:45:00",697808.7,1692314845.2,101,6908.99702970297
"142","storm_151","2017-06-16 02:00:00","2017-06-18 09:30:00",169964.1,323037620.1,55.75,3048.68340807175
"143","storm_152","2017-06-19 10:30:00","2017-06-22 00:30:00",279755.1,530845760.7,62.25,4494.0578313253
"144","storm_153","2017-06-23 02:30:00","2017-06-25 15:30:00",961521.3,5090522401.8,61.25,15698.3069387755
"145","storm_153","2017-06-23 02:30:00","2017-06-25 15:30:00",961521.3,5090522401.8,61.25,15698.3069387755
