"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id","water_yield_mm","constit_yield_mm"
"119","FC = 0.98, SFT = 0.098",2015-04-17,"2015-04-17 12:15:00",2151.7614872583,5,430.35229745166,0.98,"0.098","storm_20",0.0447351660552661,0.0447351660552661
"120","FC = 0.98, SFT = 0.098",2015-04-20,"2015-04-20 22:15:00",5896.41690325832,13,453.570531019871,0.98,"0.098","storm_21",0.122586630005371,0.122586630005371
"121","FC = 0.98, SFT = 0.098",2015-04-21,"2015-04-22 08:30:00",37616.4283434223,27.75,1355.54696733053,0.98,"0.098","storm_22",0.782046327306077,0.782046327306077
"122","FC = 0.98, SFT = 0.098",2015-04-22,"2015-04-23 16:00:00",28809.0239057713,23.25,1239.09780239877,0.98,"0.098","storm_23",0.598940205941191,0.598940205941191
"123","FC = 0.98, SFT = 0.098",2015-05-10,"2015-05-11 06:45:00",7589.70594449473,12,632.475495374561,0.98,"0.098","storm_24",0.15779014437619,0.15779014437619
"124","FC = 0.98, SFT = 0.098",2015-05-11,"2015-05-12 16:15:00",24104.3048700599,24.75,973.911307881208,0.98,"0.098","storm_25",0.501128999377545,0.501128999377545
"125","FC = 0.98, SFT = 0.098",2015-05-28,"2015-05-28 23:45:00",1810.21720460507,4,452.554301151267,0.98,"0.098","storm_26",0.0376344533181927,0.0376344533181927
"126","FC = 0.98, SFT = 0.098",2015-05-30,"2015-05-31 19:30:00",29515.8259228206,25.25,1168.94360090379,0.98,"0.098","storm_27",0.613634634570076,0.613634634570076
"127","FC = 0.98, SFT = 0.098",2015-06-01,"2015-06-02 09:00:00",47834.2266437461,33.25,1438.62335770665,0.98,"0.098","storm_28",0.994474566398048,0.994474566398048
"128","FC = 0.98, SFT = 0.098",2015-06-05,"2015-06-06 10:45:00",13449.8183247301,15,896.654554982008,0.98,"0.098","storm_29",0.279622002593142,0.279622002593142
"129","FC = 0.98, SFT = 0.098",2015-06-08,"2015-06-25 07:15:00",19514.2964084806,17.25,1131.26355991192,0.98,"0.098","storm_30",0.40570262803494,0.40570262803494
"130","FC = 0.98, SFT = 0.098",2015-06-28,"2015-06-29 18:45:00",61353.0534466026,39.5,1553.24185940766,0.98,"0.098","storm_31",1.27553125668612,1.27553125668612
"131","FC = 0.98, SFT = 0.098",2015-07-01,"2015-07-03 11:45:00",308973.197737435,51.75,5970.49657463642,0.98,"0.098","storm_32",6.42355920452047,6.42355920452047
"132","FC = 0.98, SFT = 0.098",2015-07-04,"2015-07-05 13:15:00",19416.8330554394,19.25,1008.66665223062,0.98,"0.098","storm_33",0.403676362898948,0.403676362898948
"133","FC = 0.98, SFT = 0.098",2015-08-11,"2015-08-12 11:15:00",22287.6109425453,26.25,849.051845430297,0.98,"0.098","storm_34",0.463359894855412,0.463359894855412
"134","FC = 0.98, SFT = 0.098",2015-08-21,"2015-08-21 18:30:00",14562.502155602,14.25,1021.92997583172,0.98,"0.098","storm_35",0.302754722569689,0.302754722569689
"135","FC = 0.98, SFT = 0.098",2015-09-13,"2015-09-14 09:00:00",18239.0700094633,16.25,1122.40430827467,0.98,"0.098","storm_36",0.379190644687387,0.379190644687387
"136","FC = 0.98, SFT = 0.098",2015-09-29,"2015-10-01 16:45:00",156787.415079675,46.25,3389.99816388487,0.98,"0.098","storm_37",3.25961361912007,3.25961361912007
"137","FC = 0.98, SFT = 0.098",2015-10-09,"2015-10-10 01:30:00",20910.9299499524,19.5,1072.35538204884,0.98,"0.098","storm_38",0.434738668398179,0.434738668398179
"138","FC = 0.98, SFT = 0.098",2015-10-28,"2015-10-30 13:15:00",106324.047376513,46.75,2274.31117382916,0.98,"0.098","storm_39",2.21047915543686,2.21047915543686
"139","FC = 0.98, SFT = 0.098",2015-10-31,"2015-10-31 10:00:00",2946.17299781062,7,420.881856830089,0.98,"0.098","storm_40",0.0612509978754807,0.0612509978754807
"140","FC = 0.98, SFT = 0.098",2015-11-12,"2015-11-13 11:15:00",9566.53647116176,14.5,659.761135942191,0.98,"0.098","storm_41",0.198888492123945,0.198888492123945
"141","FC = 0.98, SFT = 0.098",2016-03-28,"2016-03-29 14:15:00",31237.8259716336,27.75,1125.68742240121,0.98,"0.098","storm_42",0.649435051385315,0.649435051385315
"142","FC = 0.98, SFT = 0.098",2016-03-29,"2016-03-30 08:00:00",3575.77736194576,8.75,408.660269936659,0.98,"0.098","storm_43",0.0743404856953381,0.0743404856953381
"143","FC = 0.98, SFT = 0.098",2016-04-07,"2016-04-09 04:30:00",25458.8424462016,32.25,789.42147120005,0.98,"0.098","storm_44",0.529289863746395,0.529289863746395
"144","FC = 0.98, SFT = 0.098",2016-04-26,"2016-04-27 03:15:00",6380.39256135157,13.25,481.539061234081,0.98,"0.098","storm_45",0.132648493998993,0.132648493998993
"145","FC = 0.98, SFT = 0.098",2016-05-02,"2016-05-03 06:15:00",15048.8837713303,16.25,926.085155158788,0.98,"0.098","storm_46",0.312866606472563,0.312866606472563
"146","FC = 0.98, SFT = 0.098",2016-05-08,"2016-05-08 23:30:00",13298.6503499577,14.5,917.14829999708,0.98,"0.098","storm_47",0.276479217254837,0.276479217254837
"147","FC = 0.98, SFT = 0.098",2016-05-29,"2016-05-30 03:30:00",4061.48009830242,7.25,560.204151489989,0.98,"0.098","storm_48",0.084438255681963,0.084438255681963
"148","FC = 0.98, SFT = 0.098",2016-06-05,"2016-06-06 09:45:00",36340.5104585403,21,1730.50049802573,0.98,"0.098","storm_49",0.755519967953022,0.755519967953022
"149","FC = 0.98, SFT = 0.098",2016-07-10,"2016-07-10 11:45:00",1763.87707150544,4,440.96926787636,0.98,"0.098","storm_50",0.0366710409876391,0.0366710409876391
"150","FC = 0.98, SFT = 0.098",2016-07-14,"2016-07-14 21:45:00",2297.12629006778,4.5,510.472508903951,0.98,"0.098","storm_51",0.0477573033278125,0.0477573033278125
"151","FC = 0.98, SFT = 0.098",2016-08-16,"2016-08-17 11:00:00",9027.22118475788,13.25,681.299712057199,0.98,"0.098","storm_52",0.187676116107232,0.187676116107232
