"","Timestamp","Temperature.SoilTemp_15cm@WW_pit5","Temperature.SoilTemp_30cm@WW_pit5","Temperature.SoilTemp_45cm@WW_pit5","Temperature.SoilTemp_60cm@WW_pit5"
"229",2021-10-05 19:00:00,12.2,0,11.7,11.5
"230",2021-10-05 19:30:00,12.2,0,11.7,11.5
"231",2021-10-05 20:00:00,12.3,0,11.7,11.5
"232",2021-10-05 20:30:00,12.3,0,11.7,11.5
"233",2021-10-05 21:00:00,12.3,0,11.7,11.5
"234",2021-10-05 21:30:00,12.3,0,11.7,11.5
"235",2021-10-05 22:00:00,12.3,0,11.7,11.5
"236",2021-10-05 22:30:00,12.3,0,11.7,11.5
"237",2021-10-05 23:00:00,12.3,0,11.7,11.5
"238",2021-10-05 23:30:00,12.3,0,11.7,11.5
"239",2021-10-06 00:00:00,12.3,0,11.7,11.5
"240",2021-10-06 00:30:00,12.3,0,11.7,11.5
"241",2021-10-06 01:00:00,12.3,0,11.7,11.5
"242",2021-10-06 01:30:00,12.3,0,11.7,11.5
"243",2021-10-06 02:00:00,12.3,0,11.7,11.5
"244",2021-10-06 02:30:00,12.3,0,11.7,11.5
"245",2021-10-06 03:00:00,12.3,0,11.7,11.5
"246",2021-10-06 03:30:00,12.3,0,11.7,11.5
"247",2021-10-06 04:00:00,12.3,0,11.7,11.5
"248",2021-10-06 04:30:00,12.3,0,11.7,11.5
"249",2021-10-06 05:00:00,12.3,0,11.7,11.5
"250",2021-10-06 05:30:00,12.3,0,11.7,11.5
"251",2021-10-06 06:00:00,12.3,0,11.7,11.5
"252",2021-10-06 06:30:00,12.2,0,11.7,11.5
"253",2021-10-06 07:00:00,12.2,0,11.8,11.5
"254",2021-10-06 07:30:00,12.2,0,11.8,11.5
"255",2021-10-06 08:00:00,12.2,0,11.7,11.5
"256",2021-10-06 08:30:00,12.2,0,11.8,11.5
"257",2021-10-06 09:00:00,12.2,0,11.8,11.5
"258",2021-10-06 09:30:00,12.2,0,11.8,11.5
"259",2021-10-06 10:00:00,12.2,0,11.8,11.5
"260",2021-10-06 10:30:00,12.2,0,11.8,11.5
"261",2021-10-06 11:00:00,12.2,0,11.8,11.5
"262",2021-10-06 11:30:00,12.2,0,11.8,11.5
"263",2021-10-06 12:00:00,12.2,0,11.8,11.5
"264",2021-10-06 12:30:00,12.2,0,11.8,11.5
"265",2021-10-06 13:00:00,12.2,0,11.8,11.5
"266",2021-10-06 13:30:00,12.3,0,11.8,11.5
"267",2021-10-06 14:00:00,12.3,0,11.8,11.5
"268",2021-10-06 14:30:00,12.4,0,11.8,11.5
"269",2021-10-06 15:00:00,12.4,0,11.8,11.5
"270",2021-10-06 15:30:00,12.5,0,11.8,11.5
"271",2021-10-06 16:00:00,12.6,0,11.8,11.5
"272",2021-10-06 16:30:00,12.7,0,11.8,11.5
"273",2021-10-06 17:00:00,12.7,0,11.8,11.5
"274",2021-10-06 17:30:00,12.8,0,11.8,11.5
"275",2021-10-06 18:00:00,12.8,0,11.8,11.5
"276",2021-10-06 18:30:00,12.9,0,11.8,11.5
"277",2021-10-06 19:00:00,12.9,0,11.8,11.5
"278",2021-10-06 19:30:00,13,0,11.8,11.5
"279",2021-10-06 20:00:00,13,0,11.8,11.5
"280",2021-10-06 20:30:00,13,0,11.8,11.5
"281",2021-10-06 21:00:00,13,0,11.8,11.4
"282",2021-10-06 21:30:00,12.9,0,11.8,11.5
"283",2021-10-06 22:00:00,12.9,0,11.8,11.5
"284",2021-10-06 22:30:00,12.9,0,11.8,11.5
"285",2021-10-06 23:00:00,12.8,0,11.8,11.5
"286",2021-10-06 23:30:00,12.8,0,11.8,11.5
"287",2021-10-07 00:00:00,12.7,0,11.8,11.5
"288",2021-10-07 00:30:00,12.7,0,11.8,11.5
"289",2021-10-07 01:00:00,12.6,0,11.8,11.5
"290",2021-10-07 01:30:00,12.6,0,11.8,11.5
"291",2021-10-07 02:00:00,12.5,0,11.8,11.5
"292",2021-10-07 02:30:00,12.5,0,11.8,11.5
"293",2021-10-07 03:00:00,12.4,0,11.9,11.5
"294",2021-10-07 03:30:00,12.4,0,11.8,11.5
"295",2021-10-07 04:00:00,12.3,0,11.9,11.5
"296",2021-10-07 04:30:00,12.2,0,11.9,11.5
"297",2021-10-07 05:00:00,12.2,0,11.9,11.5
"298",2021-10-07 05:30:00,12.1,0,11.9,11.5
"299",2021-10-07 06:00:00,12.1,0,11.9,11.5
"300",2021-10-07 06:30:00,12,0,11.9,11.5
"301",2021-10-07 07:00:00,11.9,0,11.9,11.5
"302",2021-10-07 07:30:00,11.9,0,11.9,11.5
"303",2021-10-07 08:00:00,11.8,0,11.9,11.5
"304",2021-10-07 08:30:00,11.8,0,11.9,11.5
"305",2021-10-07 09:00:00,11.7,0,11.9,11.5
"306",2021-10-07 09:30:00,11.7,0,11.9,11.5
